"Season","Team","W","L","G_p","GS","CG","ShO","SV","ER","HR_p","BB_p","K_p","pWAR","G_h","AB","PA","H","1B","2B","3B","HR_h","R","RBI","BB_h","K_h","SB","hWAR","Age","WAR","Wins"
1950,"Athletics",52,102,307,154,50,3,18,821,138,729,466,8.4,1629,4842,5589,1250,926,183,44,97,614,583,654,468,37,10.2,29,18.6,52
1950,"Braves",83,69,283,154,87,7,10,622,126,542,605,12.5,1674,4942,5606,1284,896,224,33,131,720,660,573,581,70,18.5,27,31,83
1950,"Cardinals",77,74,317,153,57,9,14,577,118,512,591,16.9,1761,5022,5695,1313,919,250,48,96,666,625,582,576,23,15.9,29,32.8,78
1950,"Cubs",64,89,353,154,55,9,19,652,130,593,559,11.6,1779,5063,5610,1259,842,213,47,157,625,593,466,751,46,11,27.5,22.6,64
1950,"Dodgers",88,63,345,155,62,10,20,659,163,589,770,13.7,1807,5359,6080,1461,974,247,46,194,847,773,606,631,77,30.6,25,44.3,89
1950,"Giants",75,65,317,138,59,13,15,540,132,498,542,11,1796,5142,5873,1340,955,202,50,133,725,680,617,610,41,24.8,27.5,35.8,86
1950,"Indians",90,56,314,150,69,10,16,531,114,589,648,13.1,1774,5150,5949,1395,966,220,45,164,795,745,678,607,38,29.9,29,43,92
1950,"Phillies",87,62,307,149,54,12,27,515,119,483,585,15.5,1778,5326,5940,1417,1014,223,55,125,716,660,527,554,33,20.8,26,36.3,91
1950,"Pirates",56,93,356,151,42,6,16,736,146,607,547,11.4,1680,4474,5027,1159,801,185,51,122,577,538,478,624,30,11.4,28,22.8,57
1950,"Red Sox",90,58,321,151,64,5,26,701,116,720,611,16.6,1636,5299,6076,1610,1119,276,61,154,989,934,691,537,31,32.8,29,49.4,94
1950,"Reds",59,75,283,131,59,6,13,586,128,507,603,11.9,1520,4387,4846,1156,830,216,22,88,555,541,390,423,33,7.1,27,19,66
1950,"Tigers",94,58,295,155,71,9,20,630,137,535,563,16.5,1786,5374,6223,1517,1068,285,50,114,836,787,722,480,23,27.8,29.5,44.3,95
1950,"White Sox",48,72,255,116,51,6,8,491,79,558,436,9.7,1482,4141,4667,1066,828,140,36,62,470,453,421,457,19,7.9,26,17.6,60
1950,"Yankees",88,51,233,151,65,11,19,564,100,656,664,14.2,1764,5275,6058,1491,1033,231,69,158,897,847,669,451,41,32.4,30,46.6,98
1951,"Athletics",69,80,297,151,52,6,22,647,109,548,427,11.7,1198,3319,3839,880,641,166,26,47,465,394,454,352,33,15.7,29,27.4,70
1951,"Braves",71,63,285,133,67,15,11,499,79,545,540,12,1809,5239,5908,1373,975,232,37,129,719,677,564,613,80,20.3,29,32.3,76
1951,"Cardinals",70,64,289,137,49,8,21,534,104,482,478,12.9,1436,4160,4699,1116,818,182,45,71,543,488,453,346,24,16.8,27,29.7,81
1951,"Cubs",59,84,309,146,47,10,10,609,116,520,515,12.5,1530,4014,4407,999,731,151,38,79,458,449,335,518,44,4,26,16.5,62
1951,"Dodgers",95,56,310,145,64,10,13,555,143,500,651,13.2,1631,4876,5518,1362,944,220,37,161,771,702,535,564,87,32.5,27,45.7,97
1951,"Giants",98,59,342,156,64,9,18,538,148,479,623,14.2,1787,5329,6118,1387,957,200,52,178,774,729,667,619,55,30.9,29,45.1,98
1951,"Indians",89,58,234,151,75,10,10,481,81,512,591,15.2,1594,4880,5533,1258,900,191,34,133,654,611,567,588,48,24.2,29,39.4,93
1951,"Phillies",73,81,333,154,57,18,15,586,110,496,570,15.4,1750,4998,5598,1310,976,195,45,94,610,562,481,486,62,16.2,27,31.6,73
1951,"Pirates",52,68,299,122,33,7,10,589,120,512,469,7.7,1572,4160,4686,1077,757,176,48,96,550,491,454,471,21,10.5,28,18.2,64
1951,"Red Sox",87,67,364,154,46,7,24,643,100,599,658,21.4,1708,5041,5819,1364,986,225,31,122,775,720,707,543,19,21.3,28,42.7,87
1951,"Reds",68,86,359,155,55,14,23,572,119,490,584,16.2,1774,4986,5441,1222,907,202,31,82,534,483,382,549,44,1,27.5,17.2,68
1951,"Tigers",58,66,272,124,43,5,15,517,80,455,496,14.3,1814,5194,5839,1381,1022,220,35,104,671,616,543,504,37,14.4,30,28.7,73
1951,"White Sox",69,64,276,129,56,7,14,484,94,464,489,12.2,1477,3944,4515,1043,782,161,37,63,499,493,448,408,59,16.2,29,28.4,81
1951,"Yankees",82,42,210,130,60,19,15,416,73,414,533,14.3,1751,5045,5754,1361,977,200,47,137,778,724,583,518,78,30.9,28,45.2,98
1952,"Athletics",76,72,278,150,72,11,15,620,111,503,540,12.8,1626,4746,5490,1204,891,202,28,83,621,581,626,521,47,16.5,29,29.3,79
1952,"Braves",64,89,330,155,63,11,13,586,106,525,687,12.2,1801,5155,5758,1199,878,183,30,108,564,519,479,707,58,7.7,28,19.9,64
1952,"Cardinals",87,63,342,153,49,10,26,526,111,485,688,14.6,1677,4673,5276,1257,895,229,49,84,617,572,499,428,29,27,27,41.6,88
1952,"Cubs",77,77,323,155,59,15,15,552,101,534,661,16.7,1754,5130,5623,1344,983,212,45,104,604,571,410,688,49,16.8,27,33.5,77
1952,"Dodgers",95,56,338,152,44,11,24,529,117,523,761,15.2,1849,5248,6046,1377,993,199,32,153,774,725,661,691,90,31.5,26,46.7,96
1952,"Giants",92,62,380,154,49,11,31,547,121,538,655,9.7,1843,5102,5757,1309,926,178,56,149,711,646,530,656,30,26.1,29,35.8,92
1952,"Indians",90,61,262,155,80,16,16,490,88,528,642,13.4,1695,4982,5644,1319,932,199,48,140,717,671,566,682,44,31,28,44.4,93
